otu,vegetation_type,snow_regime,block,fence,treatment,lumped,pH,moisture,conductivity,OM,N,total_Nplus1,C,cn_ratio,nucleic_acid
DNA_A1_1,heath,deep,B1,F01,DNA_H_D,DNA_H,5.54,30.96,261.2,12.49,0.36,1.36,5.28,14.58,DNA
DNA_A3_1,heath,deep,B1,F03,DNA_H_D,DNA_H,5.87,20.32,151.7,11.4,0.41,1.41,5.18,12.75,DNA
DNA_A3_2,heath,deep,B1,F03,DNA_H_D,DNA_H,5.9,25.12,140.9,9.61,0.29,1.29,3.68,12.58,DNA
DNA_A3_C1,heath,ambient,B1,F03,DNA_H_A,DNA_H,6.06,16.77,214.1,9.56,0.27,1.27,4.16,15.22,DNA
DNA_B1_1,heath,deep,B2,F04,DNA_H_D,DNA_H,5.38,27.9,266.1,16.86,0.64,1.64,8.04,12.58,DNA
DNA_B1_2,heath,deep,B2,F04,DNA_H_D,DNA_H,5.41,39.76,204,17.17,0.55,1.55,6.87,12.46,DNA
DNA_B2_2,heath,deep,B2,F05,DNA_H_D,DNA_H,6.07,26.93,259.2,19.85,0.61,1.61,8.47,13.88,DNA
DNA_B2_C2,heath,ambient,B2,F05,DNA_H_A,DNA_H,6.33,24.66,200.5,12.9,0.37,1.37,5.53,14.94,DNA
DNA_B3_1,heath,deep,B2,F06,DNA_H_D,DNA_H,6.44,19.73,196.2,10.92,0.29,1.29,4.5,15.28,DNA
DNA_B3_2,heath,deep,B2,F06,DNA_H_D,DNA_H,6.34,50.16,546,25.58,0.67,1.67,11.36,16.91,DNA
DNA_B3_C1,heath,ambient,B2,F06,DNA_H_A,DNA_H,6.35,25.38,198.3,11.95,0.37,1.37,5.09,13.85,DNA
DNA_C1_1,meadow,deep,B3,F07,DNA_M_D,DNA_M,5.09,21.4,136,8.48,0.25,1.25,4.58,18.09,DNA
DNA_C1_C1,meadow,ambient,B3,F07,DNA_M_A,DNA_M,5.08,32.3,168.1,11.36,0.28,1.28,4.43,15.95,DNA
DNA_C1_C2,meadow,ambient,B3,F07,DNA_M_A,DNA_M,5.19,19.85,102.5,10.17,0.22,1.22,3.78,17.47,DNA
DNA_C2_1,meadow,deep,B3,F08,DNA_M_D,DNA_M,5.36,34.29,162.3,15.01,0.38,1.38,6.11,16,DNA
DNA_C2_C2,meadow,ambient,B3,F08,DNA_M_A,DNA_M,4.54,41.98,240.7,10.46,0.24,1.24,3.88,16.13,DNA
DNA_C3_1,meadow,deep,B3,F09,DNA_M_D,DNA_M,5.33,14.76,87.8,10.48,0.16,1.16,3,19.12,DNA
DNA_C3_C1,meadow,ambient,B3,F09,DNA_M_A,DNA_M,5.36,49.46,154.8,18.9,0.36,1.36,6.01,16.67,DNA
DNA_D1_2,meadow,deep,B4,F10,DNA_M_D,DNA_M,5.08,37.5,157.9,10.32,0.28,1.28,4.13,14.99,DNA
DNA_D1_C2,meadow,ambient,B4,F10,DNA_M_A,DNA_M,5.42,42.31,138.4,12.79,0.44,1.44,6.66,15.11,DNA
DNA_D2_2,meadow,deep,B4,F11,DNA_M_D,DNA_M,5.41,42.01,152.7,14.28,0.39,1.39,6.08,15.68,DNA
DNA_D3_C1,meadow,ambient,B4,F12,DNA_M_A,DNA_M,5.21,30.61,170.6,8.66,0.25,1.25,3.79,15.25,DNA
DNA_D3_C2,meadow,ambient,B4,F12,DNA_M_A,DNA_M,5.18,28.13,532,10.56,0.25,1.25,3.78,14.93,DNA
RNA_A1_1,heath,deep,B1,F01,RNA_H_D,RNA_H,5.54,30.96,261.2,12.49,0.36,1.36,5.28,14.58,RNA
RNA_A1_2,heath,deep,B1,F01,RNA_H_D,RNA_H,5.74,39.76,283.4,17.14,0.44,1.44,7.45,16.96,RNA
RNA_A1_C2,heath,ambient,B1,F01,RNA_H_A,RNA_H,6.11,38.49,233.2,17.68,0.4,1.4,6.31,15.87,RNA
RNA_A2_C1,heath,ambient,B1,F01,RNA_H_A,RNA_H,6.01,38.71,390,19.29,0.4,1.4,6.17,15.59,RNA
RNA_A3_1,heath,deep,B1,F03,RNA_H_D,RNA_H,5.87,20.32,151.7,11.4,0.41,1.41,5.18,12.75,RNA
RNA_A3_2,heath,deep,B1,F03,RNA_H_D,RNA_H,5.9,25.12,140.9,9.61,0.29,1.29,3.68,12.58,RNA
RNA_B1_1,heath,deep,B2,F04,RNA_H_D,RNA_H,5.38,27.9,266.1,16.86,0.64,1.64,8.04,12.58,RNA
RNA_B1_C1,heath,ambient,B2,F04,RNA_H_A,RNA_H,6.07,45.55,375,20.57,0.57,1.57,8.52,14.9,RNA
RNA_B1_C2,heath,ambient,B2,F04,RNA_H_A,RNA_H,6.31,29.96,273.5,18.07,0.53,1.53,9.06,17.23,RNA
RNA_B2_1,heath,deep,B2,F05,RNA_H_D,RNA_H,5.95,28.16,207.5,19.57,0.54,1.54,7.03,12.92,RNA
RNA_B3_C2,heath,ambient,B2,F06,RNA_H_A,RNA_H,6.12,49.24,299.8,22.17,0.65,1.65,10.86,16.59,RNA
RNA_C3_1,meadow,deep,B3,F09,RNA_M_D,RNA_M,5.33,14.76,87.8,10.48,0.16,1.16,3,19.12,RNA
RNA_D1_2,meadow,deep,B4,F10,RNA_M_D,RNA_M,5.08,37.5,157.9,10.32,0.28,1.28,4.13,14.99,RNA
RNA_D1_C1,meadow,ambient,B4,F10,RNA_M_A,RNA_M,5.63,38.02,139.3,10.74,0.24,1.24,3.87,15.96,RNA
RNA_D1_C2,meadow,ambient,B4,F10,RNA_M_A,RNA_M,5.42,42.31,138.4,12.79,0.44,1.44,6.66,15.11,RNA
RNA_D2_C2,meadow,ambient,B4,F11,RNA_M_A,RNA_M,5.19,39.89,285.9,12.89,0.3,1.3,4.12,13.78,RNA
RNA_D3_2,meadow,deep,B4,F12,RNA_M_D,RNA_M,5.63,30.68,130.1,10.39,0.26,1.26,3.62,14.13,RNA
RNA_D3_C1,meadow,ambient,B4,F12,RNA_M_A,RNA_M,5.21,30.61,170.6,8.66,0.25,1.25,3.79,15.25,RNA
RNA_D3_C2,meadow,ambient,B4,F12,RNA_M_A,RNA_M,5.18,28.13,532,10.56,0.25,1.25,3.78,14.93,RNA
