#OTU ID	DNA_A1_1	DNA_A3_1	DNA_A3_2	DNA_A3_C1	DNA_B1_1	DNA_B1_2	DNA_B2_2	DNA_B2_C2	DNA_B3_1	DNA_B3_2	DNA_B3_C1	DNA_C1_1	DNA_C1_C1	DNA_C1_C2	DNA_C2_1	DNA_C2_C2	DNA_C3_1	DNA_C3_C1	DNA_D1_2	DNA_D1_C2	DNA_D2_2	DNA_D3_C1	DNA_D3_C2	RNA_A1_1	RNA_A1_2	RNA_A1_C2	RNA_A2_C1	RNA_A3_1	RNA_A3_2	RNA_B1_1	RNA_B1_C1	RNA_B1_C2	RNA_B2_1	RNA_B3_C2	RNA_C3_1	RNA_D1_2	RNA_D1_C1	RNA_D1_C2	RNA_D2_C2	RNA_D3_2	RNA_D3_C1	RNA_D3_C2
OTU_0	0	0	0	0	0	0	2	0	0	0	1	3364	37975	23856	5	31083	5	889	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	7	0	8	0	0
OTU_1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	40161	3	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	7	38513	2	4	2	0	0	0	0
OTU_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	28	0	0	0	0
OTU_100	0	10	20	8	0	0	9	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	32	0	0	0	0	122	0	2	0	20	0	0	0	0	0	0	0	0	0
OTU_101	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	56	0
OTU_102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
OTU_103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
OTU_104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_105	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_106	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0
OTU_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU_109	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11	0	0	0	0	0	0	0	15	7	77	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	6	0	0	0	0	0	0	0	0
OTU_110	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	1	0
OTU_113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0
OTU_114	0	2	0	0	1	0	0	0	0	0	0	10	0	0	3	0	0	43	0	3	0	0	0	10	0	0	0	0	1	1	0	6	0	2	0	0	0	14	0	0	13	0
OTU_115	0	0	0	0	0	0	27	0	6	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	31	1	0	0	0	8	0	0	0	0	0	0
OTU_116	0	0	0	0	0	4	7	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	12
OTU_117	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_118	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	34
OTU_119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
OTU_12	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	34	0	9	0	0	2	1	1	0	0	0	0	5	0	0	0	8	0	0	33	8	7	0	2	0
