OTU_NCBI	Taxonomy_assignment_database	Phylum	Class	Order	Base_for_functional_assignment	Functional_assignment	Assignment_taxrank	Trophic_mode	Simplified_Trophic_mode	Guild	Confidence ranking	Growth form	Trait
OTU_0	UNITE	Basidiomycota	Agaricomycetes	Agaricales	Cortinarius_acutus|HQ604674|SH222527.07FU|reps|	FunGuild	Genus	Symbiotroph	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL
OTU_1	UNITE	Basidiomycota	Agaricomycetes	Agaricales	Cortinarius_pseudocandelaris|EU292225|SH222340.07FU|reps|	FunGuild	Genus	Symbiotroph	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL
OTU_10	UNITE	Ascomycota	Leotiomycetes	Helotiales	Meliniomyces_vraolstadiae|UDB020557|SH181081.07FU|reps|	FunGuild	Species	Symbiotroph	Symbiotroph	Ectomycorrhizal	Highly Probable	Dark Septate Endophyte	NULL
OTU_100	UNITE	Basidiomycota	Agaricomycetes	Agaricales	Agaricales_sp|KC966059|SH184486.07FU|reps|	literature	Order	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_101	UNITE	Basidiomycota	NA	NA	Basidiomycota_sp|KC965285|SH031681.07FU|reps_singleton|	literature	Phylum	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_102	UNITE	Basidiomycota	Agaricomycetes	Cantharellales	Sistotrema_sp|UDB020385|SH486883.07FU|reps_singleton|	FunGuild	Genus	Saprotroph-Symbiotroph	unassigned	Ectomycorrhizal-Wood Saprotroph	Possible	Corticioid	White Rot
OTU_103	UNITE	Basidiomycota	Agaricomycetes	Sebacinales	Sebacina_sp|GU452516|SH103784.07FU|refs_singleton|	FunGuild	Genus	Symbiotroph	Symbiotroph	Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph	Possible	NULL	NULL
OTU_104	NCBI	Basidiomycota	NA	NA	uncultured Basidiomycota	literature	Phylum	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_105	UNITE	Basidiomycota	Leucosporadiales	Leucosporidiales	Leucosporidiales_sp|KC884310|SH193775.07FU|reps|	literature	Order	Pathotroph	Pathotroph	NULL	NULL	NULL	NULL
OTU_106	UNITE	NA	NA	NA	Cercozoa_sp|UDB013444|SH478364.07FU|reps_singleton|	literature	NULL	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_107	NCBI	NA	NA	NA	uncultured fungus clone FMOTU_2669	literature	Kingdom	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_109	NCBI	NA	NA	NA	Uncultured Basidiomycota isolate soil	literature	Phylum	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_11	UNITE	Ascomycota	Sordariomycetes	NA	Sordariomycetes_sp|EU326165|SH174616.07FU|reps|	literature	Class	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_110	UNITE	Basidiomycota	Agaricomycetes	Agaricales	Mycena_sp|KU861557|SH220752.07FU|reps|	FunGuild	Genus	Pathotroph-Saprotroph	unassigned	Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph	Probable	Agaricoid	NULL
OTU_111	UNITE	NA	NA	NA	Fungi_sp|KU559675|SH496013.07FU|reps_singleton|	literature	Kingdom	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_112	UNITE	Ascomycota	Dothideomycetes	Venturiales	Venturia_sp|HQ212036|SH174561.07FU|reps|	FunGuild	Genus	Pathotroph	Pathotroph	Plant Pathogen	Probable	NULL	NULL
OTU_113	UNITE	Ascomycota	Dothideomycetes	Venturiales	Venturia_sp|FJ553066|SH219610.07FU|reps|	FunGuild	Genus	Pathotroph	Pathotroph	Plant Pathogen	Probable	NULL	NULL
OTU_114	UNITE	Ascomycota	Dothideomycetes	Pleosporales	Stagonospora_pseudovitensis|KF251261|SH182977.07FU|refs|	FunGuild	Genus	Pathotroph	Pathotroph	Plant Pathogen	Probable	Microfungus	NULL
OTU_115	UNITE	Ascomycota	Dothideomycetes	NA	Dothideomycetes_sp|KF617742|SH015434.07FU|reps_singleton|	literature	Class	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_116	UNITE	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_sp|KT203181|SH186988.07FU|reps|	literature	Order	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_117	UNITE	Ascomycota	Dothideomycetes	NA	Dothideomycetes_sp|KF297266|SH462915.07FU|reps_singleton|	literature	Class	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_118	NCBI	Ascomycota	Dothideomycetes	NA	Uncultured Dothideomycetes isolate soil	literature	Class	unassigned	unassigned	NULL	NULL	NULL	NULL
OTU_119	UNITE	NA	NA	NA	Fungi_sp|KF296898|SH024278.07FU|reps_singleton|	literature	Kingdom	unassigned	unassigned	NULL	NULL	NULL	NULL
